TITLE,DESCRIPTION,PRICE,CURRENCY_CODE,QUANTITY,TAGS,MATERIALS,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,VARIATION 1 TYPE,VARIATION 1 NAME,VARIATION 1 VALUES,VARIATION 2 TYPE,VARIATION 2 NAME,VARIATION 2 VALUES,SKU
Minty clay bead bracelet,This cute bracelet has beautiful pearls with mint green clay beads.,4,USD,4,,,https://i.etsystatic.com/45496600/r/il/592bc3/5245346805/il_fullxfull.5245346805_5rxw.jpg,https://i.etsystatic.com/45496600/r/il/6424e1/5245348293/il_fullxfull.5245348293_h8ud.jpg,,,,,,,,,,,,,,,
Mixed clay bead bracelet,This neon bracelet has bright orange and yellow clay beads.,4,USD,11,,,https://i.etsystatic.com/45496600/r/il/a5e17f/7153323119/il_fullxfull.7153323119_9rxh.jpg,https://i.etsystatic.com/45496600/r/il/e10f39/5197096796/il_fullxfull.5197096796_flyo.jpg,https://i.etsystatic.com/45496600/r/il/561898/7153327111/il_fullxfull.7153327111_sq3i.jpg,https://i.etsystatic.com/45496600/r/il/576529/7105359378/il_fullxfull.7105359378_rsga.jpg,https://i.etsystatic.com/45496600/r/il/63a519/7153327383/il_fullxfull.7153327383_9del.jpg,https://i.etsystatic.com/45496600/r/il/7853f6/7153327423/il_fullxfull.7153327423_2swo.jpg,,,,,Custom Property,color,"orange,blue,dark pink,light pink,green",,,,
Neutral clay bead bracelet,"This neutral bracelet has brown, tan, and white in it to match with every outfit.",4,USD,5,,,https://i.etsystatic.com/45496600/r/il/727c66/5245276877/il_fullxfull.5245276877_1kjm.jpg,https://i.etsystatic.com/45496600/r/il/86701e/5245280747/il_fullxfull.5245280747_pqg8.jpg,,,,,,,,,,,,,,,
Ocean breeze clay bead bracelet,This beautiful bracelet has half pearls and half blue clay beads.,5,USD,4,,,https://i.etsystatic.com/45496600/r/il/a7a581/5197169312/il_fullxfull.5197169312_ddtz.jpg,https://i.etsystatic.com/45496600/r/il/05861f/5197173058/il_fullxfull.5197173058_mbov.jpg,,,,,,,,,,,,,,,
Pink Forrest clay bead bracelet,"This bracelet has pink, white, and green for a perfect cute bracelet. This bracelet does not come with the other white bracelet.",5,USD,4,,,https://i.etsystatic.com/45496600/r/il/c01444/5194595554/il_fullxfull.5194595554_s5ei.jpg,https://i.etsystatic.com/45496600/r/il/817ceb/5194595734/il_fullxfull.5194595734_ylq6.jpg,https://i.etsystatic.com/45496600/r/il/eb630c/5242822253/il_fullxfull.5242822253_nn8c.jpg,https://i.etsystatic.com/45496600/r/il/e1dabc/5242822173/il_fullxfull.5242822173_3zvy.jpg,,,,,,,,,,,,,
Outdoors clay bead bracelet,"With this simple and cute blue, green, and white bracelet it makes a cute addition to your outfit.",4,USD,2,,,https://i.etsystatic.com/45496600/r/il/a9bcb2/5243070359/il_fullxfull.5243070359_3oko.jpg,https://i.etsystatic.com/45496600/r/il/5ac75a/5243071655/il_fullxfull.5243071655_lcgc.jpg,,,,,,,,,,,,,,,
Blue pearl clay bead bracelet,This bracelet includes pearls with blue clay beads throughout the the bracelet. This bracelet does not include a white bracelet.,5,USD,3,,,https://i.etsystatic.com/45496600/r/il/d5cab0/5194728246/il_fullxfull.5194728246_omzj.jpg,https://i.etsystatic.com/45496600/r/il/d9ffc6/5242955207/il_fullxfull.5242955207_jw0f.jpg,https://i.etsystatic.com/45496600/r/il/b48a4b/5194728260/il_fullxfull.5194728260_458h.jpg,https://i.etsystatic.com/45496600/r/il/49b095/5194728262/il_fullxfull.5194728262_inct.jpg,,,,,,,,,,,,,
Sunrise clay bead bracelet,"This bracelet has sunrise colors including orange, pink, yellow, and white. This bracelet is stretchy, strong, and cute. The beaded white bracelet is not sold with it.",5,USD,4,,,https://i.etsystatic.com/45496600/r/il/ca9919/5183605340/il_fullxfull.5183605340_ppb0.jpg,https://i.etsystatic.com/45496600/r/il/e3d7b3/5231832765/il_fullxfull.5231832765_bvyt.jpg,https://i.etsystatic.com/45496600/r/il/bdb746/5183646636/il_fullxfull.5183646636_hfvp.jpg,https://i.etsystatic.com/45496600/r/il/295578/5183646634/il_fullxfull.5183646634_oavy.jpg,,,,,,,,,,,,,
Heart beaded bracelet,"This bracelet has three heart beads with pink, purple, and blue beads.",2,USD,5,,,https://i.etsystatic.com/45496600/r/il/7c8904/5194778156/il_fullxfull.5194778156_s4h6.jpg,https://i.etsystatic.com/45496600/r/il/b4b346/5194778938/il_fullxfull.5194778938_6a0n.jpg,,,,,,,,,,,,,,,
Purple clouds clay bead bracelet,This cute purple bracelet is a simple way to make your outfit even cuter. With two different purples and white gives a simple yet cute bracelet.,5,USD,3,,,https://i.etsystatic.com/45496600/r/il/275f8c/5194823926/il_fullxfull.5194823926_9e89.jpg,https://i.etsystatic.com/45496600/r/il/352649/5243051553/il_fullxfull.5243051553_7p18.jpg,,,,,,,,,,,,,,,
